number,입주형태,입주기간,코로나영향,환경개선여부,유치시설1,유치시설2,유치시설3,정화시설,위치규모,비용,환경,인력,행정,시설,교류,인지여부,입주후매출,입주후고용,입주후절감
55 ,1 ,2 ,2 ,4 ,5 ,4 ,1 ,3 ,5 ,5 ,3 ,3 ,3 ,5 ,3 ,2 ,3 ,3 ,2 
56 ,1 ,1 ,4 ,3 ,1 ,5 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,2 
57 ,1 ,2 ,3 ,1 ,1 ,2 ,4 ,3 ,2 ,3 ,3 ,2 ,3 ,5 ,3 ,2 ,5 ,3 ,2 
58 ,2 ,2 ,3 ,3 ,5 ,2 ,1 ,2 ,2 ,3 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
59 ,1 ,2 ,3 ,3 ,1 ,2 ,4 ,2 ,5 ,2 ,3 ,2 ,2 ,5 ,3 ,2 ,3 ,2 ,2 
60 ,2 ,2 ,2 ,4 ,,,,2 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,2 
61 ,2 ,3 ,1 ,3 ,4 ,2 ,5 ,5 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,2 ,1 ,3 ,2 
62 ,1 ,1 ,3 ,2 ,3 ,5 ,4 ,1 ,3 ,3 ,2 ,1 ,1 ,2 ,3 ,2 ,2 ,2 ,3 
63 ,2 ,1 ,2 ,3 ,4 ,5 ,1 ,3 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
64 ,1 ,1 ,2 ,4 ,5 ,4 ,1 ,3 ,3 ,5 ,3 ,3 ,2 ,5 ,2 ,2 ,3 ,3 ,2 
65 ,2 ,2 ,3 ,4 ,5 ,4 ,1 ,2 ,2 ,2 ,3 ,5 ,2 ,5 ,3 ,2 ,2 ,3 ,2 
66 ,1 ,2 ,2 ,3 ,,,,2 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,2 ,1 ,1 ,1 
67 ,1 ,1 ,1 ,4 ,5 ,4 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,3 ,3 
68 ,2 ,1 ,3 ,3 ,5 ,,,3 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 
69 ,2 ,1 ,3 ,3 ,4 ,5 ,1 ,5 ,2 ,5 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 
70 ,2 ,1 ,4 ,4 ,4 ,5 ,1 ,3 ,3 ,3 ,3 ,3 ,2 ,1 ,2 ,1 ,2 ,2 ,2 
71 ,2 ,1 ,2 ,2 ,5 ,1 ,4 ,3 ,5 ,5 ,3 ,2 ,2 ,2 ,3 ,2 ,3 ,2 ,3 
72 ,2 ,2 ,4 ,4 ,1 ,5 ,4 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,3 
73 ,2 ,1 ,4 ,4 ,1 ,5 ,4 ,3 ,2 ,5 ,2 ,3 ,3 ,5 ,5 ,1 ,3 ,3 ,3 
74 ,1 ,1 ,3 ,3 ,1 ,5 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,3 
75 ,1 ,1 ,2 ,4 ,5 ,2 ,,2 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 
76 ,1 ,1 ,2 ,3 ,5 ,4 ,1 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,3 ,3 ,2 
77 ,2 ,1 ,2 ,3 ,5 ,1 ,2 ,3 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,2 ,3 
78 ,1 ,1 ,2 ,4 ,5 ,4 ,1 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,2 
79 ,1 ,1 ,4 ,4 ,5 ,,,2 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,2 
80 ,1 ,1 ,3 ,3 ,1 ,3 ,5 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,3 ,1 ,2 ,2 ,2 
82 ,1 ,1 ,3 ,4 ,5 ,3 ,1 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,1 ,3 ,2 ,2 
83 ,1 ,1 ,3 ,4 ,5 ,,,2 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 
