700M,,,,,1KM,,,,,2KM,,,,
==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,
검색어 :  공영주차장 개수 :  0,,,  0,  0,검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  11,,, 11, 11
검색어 :  공영주차장 개수 :  10,,, 10, 10,검색어 :  공영주차장 개수 :  28,,, 28, 28,검색어 :  공영주차장 개수 :  108,,,108,108
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  2,,,  2,  2,검색어 :  공영주차장 개수 :  2,,,  2,  2
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  2,,,  2,  2
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  4,,,  4,  4,검색어 :  공영주차장 개수 :  32,,, 32, 32
==========[ 주유소 ] ==========,,,===,===,==========[ 주유소 ] ==========,,,===,===,==========[ 주유소 ] ==========,,,===,===
검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  10,,, 10, 10
검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  7,,,  7,  7
검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  4,,,  4,  4
검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  11,,, 11, 11
검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  8,,,  8,  8
검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  6,,,  6,  6,검색어 :  주유소 개수 :  20,,, 20, 20
검색어 :  주유소 개수 :  3,,,  3,  3,검색어 :  주유소 개수 :  4,,,  4,  4,검색어 :  주유소 개수 :  10,,, 10, 10
검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  2,,,  2,  2,검색어 :  주유소 개수 :  11,,, 11, 11
검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  1,,,  1,  1,검색어 :  주유소 개수 :  4,,,  4,  4
검색어 :  주유소 개수 :  0,,,  0,  0,검색어 :  주유소 개수 :  0,,,  0,  0,검색어 :  주유소 개수 :  4,,,  4,  4
==========[ 충전소 ] ==========,,,===,===,==========[ 충전소 ] ==========,,,===,===,==========[ 충전소 ] ==========,,,===,===
검색어 :  충전소 개수 :  4,,,  4,  4,검색어 :  충전소 개수 :  5,,,  5,  5,검색어 :  충전소 개수 :  5,,,  5,  5
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  2,,,  2,  2
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  1,,,  1,  1
검색어 :  충전소 개수 :  1,,,  1,  1,검색어 :  충전소 개수 :  1,,,  1,  1,검색어 :  충전소 개수 :  2,,,  2,  2
검색어 :  충전소 개수 :  1,,,  1,  1,검색어 :  충전소 개수 :  1,,,  1,  1,검색어 :  충전소 개수 :  1,,,  1,  1
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  2,,,  2,  2
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  1,,,  1,  1
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0
검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0,검색어 :  충전소 개수 :  0,,,  0,  0
==========[ 지하철역 ] ==========,,,===,===,==========[ 지하철역 ] ==========,,,===,===,==========[ 지하철역 ] ==========,,,===,===
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  6,,,  6,  6
검색어 :  지하철역 개수 :  9,,,  9,  9,검색어 :  지하철역 개수 :  16,,, 16, 16,검색어 :  지하철역 개수 :  27,,, 27, 27
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  8,,,  8,  8
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  6,,,  6,  6
검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  0,,,  0,  0,검색어 :  지하철역 개수 :  3,,,  3,  3
검색어 :  지하철역 개수 :  3,,,  3,  3,검색어 :  지하철역 개수 :  11,,, 11, 11,검색어 :  지하철역 개수 :  23,,, 23, 23
==========[ 은행 ] ==========,,,===,===,==========[ 은행 ] ==========,,,===,===,==========[ 은행 ] ==========,,,===,===
검색어 :  은행 개수 :  4,,,  4,  4,검색어 :  은행 개수 :  8,,,  8,  8,검색어 :  은행 개수 :  72,,, 72, 72
검색어 :  은행 개수 :  6,,,  6,  6,검색어 :  은행 개수 :  18,,, 18, 18,검색어 :  은행 개수 :  87,,, 87, 87
검색어 :  은행 개수 :  9,,,  9,  9,검색어 :  은행 개수 :  13,,, 13, 13,검색어 :  은행 개수 :  29,,, 29, 29
검색어 :  은행 개수 :  3,,,  3,  3,검색어 :  은행 개수 :  8,,,  8,  8,검색어 :  은행 개수 :  56,,, 56, 56
검색어 :  은행 개수 :  40,,, 40, 40,검색어 :  은행 개수 :  51,,, 51, 51,검색어 :  은행 개수 :  92,,, 92, 92
