연번,법인번호,업체명
881,1311110405877,유사이드
883,2850110270962,이든이앤씨
884,1311110259373,이브리지코리아
885,1311110393725,이지비젼
886,1311110499143,인토
887,1501110126636,일신나퓨
888,1311110583855,정원아이디
889,1358110244558,주니랩
890,1311110586289,주안엔지니어링
891,1101114536665,지씨에스
892,1412110073167,지투지
893,1101115005239,코니정공
894,1101113689564,큐라코
895,1101115371119,크레이지
896,1311110632313,클라이브
897,1101114456897,태영엠앤에프
898,1311110560134,토마토파킹
899,1311110325760,토탈필하우징
902,1311110532802,티에스엠테크놀로지
903,1311110225811,티엘씨커뮤니케이션
904,1311110509760,팡마니
905,1101112854431,퓨처젠
906,1101116874451,피엔엘글로벌
907,1311110553832,필메디
908,1311110403178,한국에프앤비
909,1311110569938,휴먼테크
914,1345110417871,노바랩
915,1311110625756,농업회사법인  스마트팜앤파크
919,1358110337353,두드림코리아
949,1244110286931,파인텍
985,1201110640872,구주엔지니어링
986,1211110170307,랩 메디라인
987,1314110336365,앱트이노베이션
988,1341110557683,에셀
989,1201111005314,에이치앤에이치디벨롭먼트
990,1201110837370,에이티에스티
991,1341110489480,원디스플레이
992,1201111021550,주레오코스메틱
993,1201110856833,진흥정공
994,1201111009671,케이투비
995,1201110797350,코윈에프에이
996,1201110948523,피케이커머스
1001,1201110492041,대신네트웍스
1006,1246110247161,디엔디엔지니어링
1011,1201110353392,비앤비코퍼레이션
1017,1201110569775,세이레 농업회사법인
1021,1201111108803,아이옵
1024,1201111055880,엘케이글로벌코리아
1025,1201111067570,엠피에스코리아
1028,1201110408600,유인정보통신
1045,1942110294835,창원에너파크
1047,2301110314466,블루골드
