피비케이바이오,청주시,피비케이바이오에 대한 검색결과 없음,피비케이바이오에 대한 검색결과 없음,피비케이바이오에 대한 검색결과 없음,피비케이바이오에 대한 검색결과 없음
하성,청주시,(주)하성,설립일                            2006년 02월 28일                                (업력 16년)대표자명양홍춘업종유리 및 창호 공사업재무정보매출액 40억원▲영업이익 923.9만원▲(2020년 기준)전체평균연봉3000만원▲                                                            (2020년 기준)전체기업주소강원 춘천시 후석로462번길 37,40억 441만원,25명
한국장애경제인협회 교육사업단,청주시,한국장애경제인협회 교육사업단에 대한 검색결과 없음,한국장애경제인협회 교육사업단에 대한 검색결과 없음,한국장애경제인협회 교육사업단에 대한 검색결과 없음,한국장애경제인협회 교육사업단에 대한 검색결과 없음
한승이엔(주),청주시,한승이엔(주),"설립일                            2019년 05월 14일                                (업력 3년)대표자명이지원업종액체 여과기 제조업기업주소충북 청주시 흥덕구 직지대로436번길 76, 1432호",중소기업,업력 4년차
(주)민성에프에이,달서구,(주)민성에프에이,"설립일                            2016년 08월 30일                                (업력 6년)대표자명강신재업종철물, 금속 파스너 및 수공구 도매업재무정보매출액 8억원▲(2020년 기준)전체평균연봉4000만원▲                                                            (2020년 기준)전체기업주소경기 시흥시 하중로221번길 8-3, 101호","8억 1,679만원",중소기업
(주)씨티엘바이오테크,달서구,(주)씨티엘바이오테크,설립일                            2021년 12월 13일                                (업력 1년)대표자명윤홍원업종기타제조업기업주소대구 달서구 성서로 329,4명,기타
(주)허브누리,달서구,(주)허브누리,"설립일                            2013년 06월 20일                                (업력 9년)대표자명신유현업종화장품 제조업재무정보매출액 15억원▲영업이익 5000만원▲(2019년 기준)전체평균연봉3000만원▲                                                            (2019년 기준)전체기업주소대구 달서구 성서로 329, 310호","17억 3,277만원",중소기업
명진랩(주),달서구,명진랩(주),"설립일                            2018년 08월 01일                                (업력 4년)대표자명최규현업종산업처리공정 제어장비 제조업재무정보매출액 3억원▲영업이익 35.6만원▲(2020년 기준)전체평균연봉5000만원▲                                                            (2020년 기준)전체기업주소대구 달서구 성서로 329, 2층 214호",3억 116만원,중소기업
세은산업,달서구,(주)세은산업,설립일                            2020년 02월 06일                                (업력 2년)대표자명유연화업종합성수지 및 기타 플라스틱 물질 제조업재무정보매출액 20억원▲영업이익 1억원▲(2021년 기준)전체기업주소경북 영천시 삼귀길 17,"23억 8,580만원",중소기업
티엠테크,달서구,(주)티엠테크,설립일                            1998년 03월 23일                                (업력 24년)대표자명윤주식업종비디오 및 기타 영상기기 제조업재무정보매출액 140억원▲영업이익 1억원▲(2021년 기준)전체평균연봉5000만원▲                                                            (2021년 기준)전체기업주소경북 구미시 수출대로5길 26-21,"149억 2,775만원",중소기업
푸름,달서구,(주)푸름,"설립일                            2019년 03월 06일                                (업력 3년)대표자명허영수업종그 외 기타 상품 전문 도매업재무정보매출액 20억원▲영업이익 2억원▲(2020년 기준)전체기업주소경기 부천시 부천로208번길 70, 3층","20억 1,529만원",중소기업
(주)123로지스 ,"인천 서구 백범로 611, 5층 511호",정보없음,중소기업,9명,"36억 2,370만원"
(주)에이치플랫폼,서구 ,(주)에이치플랫폼,"설립일                            2020년 10월 06일                                (업력 2년)대표자명한동철업종사업 및 무형 재산권 중개업기업주소인천 서구 백범로 611, 823호",중소기업,업력 3년차
