basDt,bizYear,crno,enpBzopPft,enpCptlAmt,enpCrtmNpf,enpSaleAmt,enpTastAmt,enpTcptAmt,enpTdbtAmt,fnclDcd,fnclDcdNm,fnclDebtRto,iclsPalClcAmt
20191231,2019,2001110495915,30854,10000,39559,522644,329541,-65019,394560,120,요약별도재무정보,-606.8380011996,39559
20161231,2016,2001110130339,490,1000,73,8917,18315,7412,10903,110,요약연결재무제표,147.1,213
20171231,2017,2001110130339,323936,1000000,158159,7303058,17732824,7704384,10028440,120,요약별도재무정보,130.1653707811,270460
20181231,2018,2001110130339,69802,1000000,346569,5567560,15970543,7625969,8344574,120,요약별도재무정보,109.4231303589,554457
20191231,2019,2001110130339,-62289,1000000,15862,4828375,16454217,7693170,8761047,120,요약별도재무정보,113.8808449572,47271
20161231,2016,1201110473835,-19582,100000,-34394,82919,132912,-442379,575291,120,요약별도재무정보,-130.0448258167,-34394
20171231,2017,1201110473835,-32955,100000,-53350,178164,272595,-495729,768324,120,요약별도재무정보,-154.9887135914,-53350
20181231,2018,1201110473835,-45272,175000,-46180,648667,298927,-391909,690836,120,요약별도재무정보,-176.2745943573,-46180
20191231,2019,1201110473835,9146,175000,12593,1164885,460590,-379315,839905,120,요약별도재무정보,-221.4267824894,12593
20201231,2020,1201110473835,5967,175000,8429,837882,295508,-370886,666394,120,요약별도재무정보,-179.6762347459,8429
20191231,2019,1201110915366,-22432,41600,76081,374219,244736,3459,241277,120,요약별도재무정보,6975.339693553,76081
20201231,2020,1201110915366,99716,52015,96861,514719,599193,300288,298905,120,요약별도재무정보,99.5394421355,97293
20161231,2016,1201110039653,1719717,300000,561540,4770849,11510804,5383193,6127611,120,요약별도재무정보,113.8285586268,899071
20171231,2017,1201110039653,615911,300000,501671,4174435,11871553,5884864,5986689,120,요약별도재무정보,101.7302863753,659837
20181231,2018,1201110039653,823394,300000,646088,3612938,21361654,4730313,16631341,120,요약별도재무정보,351.5907086909,873910
20161231,2016,1614110018701,73401,300000,24653,2207123,4471579,1243423,3228156,120,요약별도재무정보,259.6184886398,37719
20171231,2017,1614110018701,87770,300000,13255,1610428,4904443,1256678,3647765,120,요약별도재무정보,290.2704590993,19308
20181231,2018,1614110018701,6147,300000,147918,1620894,4639406,1404596,3234810,120,요약별도재무정보,230.3018092035,152976
20191231,2019,1614110018701,108294,300000,40342,2258302,4663464,1444938,3218526,120,요약별도재무정보,222.7449205433,40755
20201231,2020,1614110018701,77341,300000,20190,1448424,4809508,1465128,3344380,120,요약별도재무정보,228.2653802261,20190
20201231,2020,1201111072321,7646,150000,10901,100989,171827,160901,10926,120,요약별도재무정보,6.7905109352,10901
20181231,2018,1201110952657,49784,20000,44751,1055028,471603,64751,406852,120,요약별도재무정보,628.3331531559,49820
20191231,2019,1201110952657,103990,20000,97558,2196277,658577,162309,496268,120,요약별도재무정보,305.7550721155,108811
20161231,2016,2849110065861,1030884,200000,613705,25320207,11728027,5334128,6393899,120,요약별도재무정보,119.8677459558,841418
20171231,2017,2849110065861,1219035,200000,1189000,24976092,22474453,6523128,15951325,120,요약별도재무정보,244.5349071795,1497543
20181231,2018,2849110065861,1461,200,1083,35470,16492,7122,9370,110,요약연결재무제표,131.56,1419
20191231,2019,2849110065861,195,200,98,20051,19294,7515,11779,110,요약연결재무제표,156.74,286
20161231,2016,1201110296047,-33937,300000,1876,584743,929884,198463,731421,120,요약별도재무정보,368.5427510417,1876
20171231,2017,1201110296047,-61157,300000,-78075,550755,873384,120387,752997,120,요약별도재무정보,625.4803259488,-78075
20181231,2018,1201110296047,-515,300000,3121,574216,876428,123509,752919,120,요약별도재무정보,609.6065873741,3121
20191231,2019,1201110296047,-32621,300000,10544,658041,904627,134053,770574,120,요약별도재무정보,574.82786659,10544
20201231,2020,1201110296047,9238,300000,11940,729208,1029813,145993,883820,120,요약별도재무정보,605.3851897008,11940
20161231,2016,1246110259223,215505,250000,150930,3840928,3216397,2167505,1048892,120,요약별도재무정보,48.3916761437,167958
20171231,2017,1246110259223,183755,250000,119899,3236738,3343191,2287404,1055787,120,요약별도재무정보,46.156560013,133820
20181231,2018,1246110259223,154443,250000,95569,3154485,3330261,2382975,947286,120,요약별도재무정보,39.75224247,107048
20191231,2019,1246110259223,139984,250000,81778,2557871,3380171,2264753,1115418,120,요약별도재무정보,49.2511986958,90789
20201231,2020,1246110259223,658542,250000,625420,6412120,4052155,2890173,1161982,120,요약별도재무정보,40.204582909,625420
20171231,2017,1101116245769,-14,10,-14,32,13,-5,18,110,요약연결재무제표,0,-14
20181231,2018,1101116245769,-31,10,-28,148,100,-33,133,110,요약연결재무제표,0,-28
20191231,2019,1101116245769,-115,124,-118,5,259,148,111,110,요약연결재무제표,75,-118
20201231,2020,1101116245769,36,124,192,177,495,342,153,110,요약연결재무제표,44.74,193
20181231,2018,1201110954546,57964,50000,54986,605807,504180,104986,399194,120,요약별도재무정보,380.235459966,54986
20191231,2019,1201110954546,37290,50000,25299,485094,377563,130286,247277,120,요약별도재무정보,189.7955267641,25299
20201231,2020,1201110954546,86930,50000,76135,1517790,431746,206420,225326,120,요약별도재무정보,109.1589962212,76135
20161231,2016,1355110276135,604,50,507,1396,1007,560,447,110,요약연결재무제표,79.82,596
20171231,2017,1355110276135,-498046,50000,-440607,716135,924759,119395,805364,120,요약별도재무정보,674.5374596926,-440381
20181231,2018,1355110276135,-36,200,21,618,683,290,393,110,요약연결재무제표,135.52,21
20191231,2019,1355110276135,97831,200000,88846,1134958,886105,379299,506806,120,요약별도재무정보,133.6164872567,88846
20201231,2020,1355110276135,326,200,291,3711,1962,670,1292,110,요약연결재무제표,192.84,291
20171231,2017,1201110896590,504757,50000,504775,1898000,1218576,554776,663800,120,요약별도재무정보,119.6518955398,504775
20181231,2018,1201110896590,58426,50000,50707,337000,573373,520457,52916,120,요약별도재무정보,10.1672184253,56708
20191231,2019,1201110896590,14509,50000,9996,747300,649407,530454,118953,120,요약별도재무정보,22.4247531359,12793
20201231,2020,1201110896590,48409,50000,34829,885000,1150490,527283,623207,120,요약별도재무정보,118.1921283257,39957
20161231,2016,1201110437146,84762,50000,61740,1428359,933972,568495,365477,120,요약별도재무정보,64.2885161698,71611
20171231,2017,1201110437146,64631,50000,54733,1341658,806235,603229,203006,120,요약별도재무정보,33.6532229053,63061
20181231,2018,1201110437146,-44237,50000,-23421,1269297,725428,559808,165620,120,요약별도재무정보,29.5851434777,-23337
20191231,2019,1201110437146,-21425,50000,-17800,1193502,647704,522008,125696,120,요약별도재무정보,24.0793244547,-16896
